2018-06-27 13:22:38.305600,"[10000, 1.2207622528076172]","[10000, 1.1200859546661377]","[10000, 1.2293329238891602]","[10000, 1.566235065460205]","[10000, 1.0942530632019043]","[10000, 1.123551845550537]","[10000, 1.2277648448944092]","[10000, 1.0233631134033203]","[10000, 1.126349925994873]","[10000, 1.0223653316497803]","[10000, 1.0225536823272705]","[10000, 1.022522211074829]","[10000, 1.0248990058898926]","[10000, 0.9705150127410889]"
2018-06-27 13:32:54.508413,"[250, 1.0572421550750732]","[250, 1.025188684463501]","[250, 1.2288849353790283]","[250, 1.4366600513458252]","[250, 1.018347978591919]","[250, 1.0195960998535156]","[250, 0.9760410785675049]","[250, 1.0748400688171387]","[250, 1.1270129680633545]","[250, 1.0181279182434082]","[250, 1.2295818328857422]","[250, 1.230126142501831]","[250, 1.1261649131774902]","[250, 1.0633583068847656]"
2018-06-27 13:33:10.149374,"[500, 0.9843668937683105]","[500, 1.0218911170959473]","[500, 1.055271863937378]","[500, 0.9919040203094482]","[500, 1.1258983612060547]","[500, 2.76446795463562]","[500, 1.1256608963012695]","[500, 1.0864999294281006]","[500, 0.9607141017913818]","[500, 0.891608715057373]","[500, 1.1557691097259521]","[500, 0.965939998626709]","[500, 1.594139814376831]","[500, 0.9641270637512207]"
2018-06-27 13:33:26.843547,"[750, 1.024643898010254]","[750, 0.882692813873291]","[750, 0.9154539108276367]","[750, 1.1331586837768555]","[750, 1.1148450374603271]","[750, 1.1389350891113281]","[750, 1.113023042678833]","[750, 1.0238237380981445]","[750, 1.1254558563232422]","[750, 1.4332749843597412]","[750, 1.0980708599090576]","[750, 1.070713996887207]","[750, 1.1081831455230713]","[750, 0.9674727916717529]"
2018-06-27 13:33:42.002217,"[1000, 1.1815779209136963]","[1000, 0.9211547374725342]","[1000, 1.023709774017334]","[1000, 1.1265008449554443]","[1000, 1.0950710773468018]","[1000, 1.1033790111541748]","[1000, 1.177847146987915]","[1000, 0.9218258857727051]","[1000, 1.12689208984375]","[1000, 0.9199800491333008]","[1000, 1.1246449947357178]","[1000, 0.9222140312194824]","[1000, 1.1258130073547363]","[1000, 1.4681789875030518]"
2018-06-27 13:33:57.248634,"[1250, 1.0901739597320557]","[1250, 0.8407950401306152]","[1250, 0.8791773319244385]","[1250, 0.8453938961029053]","[1250, 0.8514609336853027]","[1250, 1.086561918258667]","[1250, 1.124133825302124]","[1250, 0.8589732646942139]","[1250, 0.9874188899993896]","[1250, 0.9425051212310791]","[1250, 0.9996206760406494]","[1250, 1.1700758934020996]","[1250, 0.8996169567108154]","[1250, 1.3756911754608154]"
2018-06-27 13:34:11.207084,"[1500, 0.8627898693084717]","[1500, 0.9116008281707764]","[1500, 1.1270298957824707]","[1500, 0.8743619918823242]","[1500, 0.8375022411346436]","[1500, 1.0391640663146973]","[1500, 1.1371028423309326]","[1500, 0.921288013458252]","[1500, 1.1269829273223877]","[1500, 1.1251552104949951]","[1500, 1.2290101051330566]","[1500, 1.0484530925750732]","[1500, 0.8968217372894287]","[1500, 1.1287529468536377]"
2018-06-27 13:34:25.480120,"[1750, 1.1207051277160645]","[1750, 1.1249606609344482]","[1750, 1.12860107421875]","[1750, 1.0497548580169678]","[1750, 1.6699490547180176]","[1750, 0.9742567539215088]","[1750, 0.9015700817108154]","[1750, 0.9145472049713135]","[1750, 1.007505178451538]","[1750, 0.9144971370697021]","[1750, 1.0617799758911133]","[1750, 1.126155138015747]","[1750, 1.1250231266021729]","[1750, 0.9231932163238525]"
2018-06-27 13:34:40.530745,"[2000, 0.9195520877838135]","[2000, 1.0490381717681885]","[2000, 1.2017650604248047]","[2000, 1.053804636001587]","[2000, 1.0956318378448486]","[2000, 1.0610778331756592]","[2000, 0.8827118873596191]","[2000, 1.0262210369110107]","[2000, 1.0481619834899902]","[2000, 1.0974819660186768]","[2000, 1.1262500286102295]","[2000, 1.3496079444885254]","[2000, 0.9387128353118896]","[2000, 1.0912346839904785]"
2018-06-27 13:34:55.481238,"[2250, 1.2277920246124268]","[2250, 0.8559019565582275]","[2250, 1.0856678485870361]","[2250, 1.0790960788726807]","[2250, 0.9689538478851318]","[2250, 1.1256771087646484]","[2250, 1.0238380432128906]","[2250, 1.2288689613342285]","[2250, 1.0259487628936768]","[2250, 0.971398115158081]","[2250, 0.8826708793640137]","[2250, 0.8534419536590576]","[2250, 0.9815628528594971]","[2250, 0.9147660732269287]"
2018-06-27 13:35:09.717680,"[2500, 0.9169039726257324]","[2500, 1.2270238399505615]","[2500, 0.9213190078735352]","[2500, 0.9251999855041504]","[2500, 1.061122179031372]","[2500, 1.0894079208374023]","[2500, 1.1188631057739258]","[2500, 1.0459308624267578]","[2500, 0.8921918869018555]","[2500, 0.8673100471496582]","[2500, 0.861901044845581]","[2500, 0.9381158351898193]","[2500, 0.8958582878112793]","[2500, 0.845059871673584]"
2018-06-27 13:35:23.334033,"[2750, 0.9073078632354736]","[2750, 0.8411710262298584]","[2750, 0.9778778553009033]","[2750, 0.9048647880554199]","[2750, 1.0747740268707275]","[2750, 0.9207961559295654]","[2750, 0.9467740058898926]","[2750, 0.8750331401824951]","[2750, 0.9419498443603516]","[2750, 1.1252570152282715]","[2750, 1.841771125793457]","[2750, 1.1271331310272217]","[2750, 1.2288799285888672]","[2750, 1.0234358310699463]"
2018-06-27 13:35:38.079900,"[3000, 0.8983139991760254]","[3000, 0.8639450073242188]","[3000, 0.9128482341766357]","[3000, 0.9056839942932129]","[3000, 1.1252148151397705]","[3000, 0.9205279350280762]","[3000, 1.0528819561004639]","[3000, 0.8916497230529785]","[3000, 1.1263830661773682]","[3000, 0.9206390380859375]","[3000, 1.1246118545532227]","[3000, 1.0490939617156982]","[3000, 0.9438767433166504]","[3000, 0.9770281314849854]"
2018-06-27 13:35:51.802367,"[3250, 1.1258962154388428]","[3250, 0.9476110935211182]","[3250, 0.8800792694091797]","[3250, 0.9082269668579102]","[3250, 0.8909218311309814]","[3250, 0.9751930236816406]","[3250, 1.1268649101257324]","[3250, 1.0236940383911133]","[3250, 1.1249730587005615]","[3250, 1.2274222373962402]","[3250, 0.9782721996307373]","[3250, 0.8459479808807373]","[3250, 0.9668788909912109]","[3250, 1.0270071029663086]"
2018-06-27 13:36:05.861888,"[3500, 0.9622249603271484]","[3500, 0.9239799976348877]","[3500, 0.9456691741943359]","[3500, 0.9218688011169434]","[3500, 0.9059770107269287]","[3500, 0.9347820281982422]","[3500, 0.9593582153320312]","[3500, 0.9093918800354004]","[3500, 0.888159990310669]","[3500, 0.8837928771972656]","[3500, 0.8766200542449951]","[3500, 0.8689248561859131]","[3500, 0.9115099906921387]","[3500, 0.8735392093658447]"
2018-06-27 13:36:18.638757,"[3750, 0.8368759155273438]","[3750, 0.9045958518981934]","[3750, 0.8493092060089111]","[3750, 0.8880751132965088]","[3750, 0.8908200263977051]","[3750, 0.8588390350341797]","[3750, 0.9264011383056641]","[3750, 0.8949501514434814]","[3750, 0.9239602088928223]","[3750, 0.9103751182556152]","[3750, 0.9219582080841064]","[3750, 0.8507130146026611]","[3750, 0.89693284034729]","[3750, 1.0242161750793457]"
2018-06-27 13:36:31.228388,"[4000, 1.1224231719970703]","[4000, 0.9187719821929932]","[4000, 1.1254446506500244]","[4000, 1.3327529430389404]","[4000, 1.228205919265747]","[4000, 1.1245689392089844]","[4000, 1.0231375694274902]","[4000, 0.9219639301300049]","[4000, 1.1247520446777344]","[4000, 1.050091028213501]","[4000, 0.831024169921875]","[4000, 0.9817259311676025]","[4000, 0.8486840724945068]","[4000, 0.891265869140625]"
2018-06-27 13:36:45.767462,"[4250, 0.8618319034576416]","[4250, 0.9766848087310791]","[4250, 1.1268811225891113]","[4250, 1.078786849975586]","[4250, 1.069828987121582]","[4250, 1.1255850791931152]","[4250, 0.9241280555725098]","[4250, 1.1221439838409424]","[4250, 1.0240199565887451]","[4250, 1.1264557838439941]","[4250, 1.109349012374878]","[4250, 1.0625920295715332]","[4250, 1.0001280307769775]","[4250, 1.1264519691467285]"
2018-06-27 13:37:00.522810,"[4500, 1.010209083557129]","[4500, 1.0206170082092285]","[4500, 1.2296247482299805]","[4500, 1.2285149097442627]","[4500, 1.2279138565063477]","[4500, 1.095780849456787]","[4500, 1.0840330123901367]","[4500, 0.9156508445739746]","[4500, 0.9990549087524414]","[4500, 1.2286620140075684]","[4500, 1.124108076095581]","[4500, 1.1255371570587158]","[4500, 1.054908037185669]","[4500, 1.1985406875610352]"
2018-06-27 13:37:16.081316,"[4750, 2.2754759788513184]","[4750, 0.8903508186340332]","[4750, 0.8779299259185791]","[4750, 1.0070319175720215]","[4750, 0.9244201183319092]","[4750, 0.9784040451049805]","[4750, 1.02335524559021]","[4750, 1.0235326290130615]","[4750, 0.9194622039794922]","[4750, 1.126600980758667]","[4750, 1.1251702308654785]","[4750, 1.2282698154449463]","[4750, 0.9215507507324219]","[4750, 1.126389980316162]"
2018-06-27 13:37:31.542366,"[5000, 0.9175870418548584]","[5000, 1.1215622425079346]","[5000, 0.9219248294830322]","[5000, 0.957258939743042]","[5000, 2.5234360694885254]","[5000, 0.991023063659668]","[5000, 1.0532488822937012]","[5000, 0.8574252128601074]","[5000, 0.9111120700836182]","[5000, 0.8576350212097168]","[5000, 0.8910369873046875]","[5000, 0.8561429977416992]","[5000, 0.8700981140136719]","[5000, 1.1563682556152344]"
2018-06-27 13:37:46.446273,"[5250, 0.9651598930358887]","[5250, 1.019968032836914]","[5250, 0.8829798698425293]","[5250, 0.9602468013763428]","[5250, 1.0333571434020996]","[5250, 0.8981571197509766]","[5250, 0.881443977355957]","[5250, 0.8694829940795898]","[5250, 0.8825678825378418]","[5250, 0.9925549030303955]","[5250, 0.8794131278991699]","[5250, 0.930433988571167]","[5250, 1.0216867923736572]","[5250, 2.0465548038482666]"
2018-06-27 13:38:00.725726,"[5500, 1.1235568523406982]","[5500, 1.1236209869384766]","[5500, 1.843890905380249]","[5500, 1.1250169277191162]","[5500, 1.2276909351348877]","[5500, 1.1243021488189697]","[5500, 1.0236859321594238]","[5500, 0.921320915222168]","[5500, 1.1248798370361328]","[5500, 0.9215109348297119]","[5500, 0.9201672077178955]","[5500, 1.1182000637054443]","[5500, 1.0327401161193848]","[5500, 2.6602067947387695]"
2018-06-27 13:38:18.034458,"[5750, 1.1222929954528809]","[5750, 0.9173500537872314]","[5750, 1.2284610271453857]","[5750, 0.9210548400878906]","[5750, 1.0768020153045654]","[5750, 0.9467840194702148]","[5750, 0.9847848415374756]","[5750, 0.9397549629211426]","[5750, 1.0619361400604248]","[5750, 1.0829999446868896]","[5750, 0.9630641937255859]","[5750, 1.0232892036437988]","[5750, 1.2283883094787598]","[5750, 1.0277659893035889]"
2018-06-27 13:38:32.577536,"[6000, 1.0158278942108154]","[6000, 1.1237540245056152]","[6000, 0.9205288887023926]","[6000, 1.5364670753479004]","[6000, 1.1244370937347412]","[6000, 0.9732708930969238]","[6000, 0.971107006072998]","[6000, 1.2281320095062256]","[6000, 1.1233570575714111]","[6000, 1.1250832080841064]","[6000, 1.0238919258117676]","[6000, 0.9207470417022705]","[6000, 0.9206898212432861]","[6000, 0.88496994972229]"
